Topic_Year,Topic_num,Sum_Citation,Five_Year_Percent,Three_Year_Percent,Sum_SJR,Avg_SJR,Year,Topic,Growth_Rate,Citation_Growth_Rate,Year_Sum,Topic_Percent_By_Year,Percent_By_Year_Growth_Rate
7_2013,357.0,11550.0,0.25329153605015675,0.3646209386281589,505.80499999999944,1.2519925742574245,2013,7,0.028818443804034644,-0.1044428936962084,2827.0,0.1262822780332508,-0.08217894755084021
7_2014,404.0,11661.0,0.23801652892561986,0.3621123218776193,541.1829999999994,1.2527384259259249,2014,7,0.13165266106442575,0.009610389610389625,3155.0,0.12805071315372424,0.01400382657024779
7_2015,432.0,9521.0,0.2413793103448276,0.3695324283559578,635.863,1.2976795918367348,2015,7,0.06930693069306937,-0.18351770860132066,3537.0,0.12213740458015267,-0.04617942710301559
7_2016,490.0,7354.0,0.2449528936742934,0.37193460490463215,642.2209999999998,1.1762289377289372,2016,7,0.1342592592592593,-0.22760214263207645,3669.0,0.13355137639683837,0.09345189424911426
7_2017,546.0,4482.0,0.23121149897330595,0.3520950594121326,715.5350000000008,1.2709325044404984,2017,7,0.11428571428571432,-0.39053576285014957,3938.0,0.13864906043676994,0.03817020967858964
7_2018,563.0,1156.0,0.2452619843924192,0.3730921424533635,0.0,0.0,2018,7,0.031135531135531025,-0.7420794288264168,4194.0,0.13423938960419646,-0.03180454897193108
8_2002,46.0,2219.0,0.3136094674556213,0.5353535353535354,51.059,0.963377358490566,2002,8,,,587.0,0.07836456558773425,
8_2003,53.0,3637.0,0.3010204081632653,0.3734177215189873,55.84599999999998,0.9465423728813556,2003,8,0.15217391304347827,0.6390265885534023,715.0,0.07412587412587412,-0.05408938887199766
8_2004,59.0,6564.0,0.3218884120171674,0.4010695187165775,75.801,1.01068,2004,8,0.1132075471698113,0.8047841627715149,830.0,0.07108433734939759,-0.04103205273925892
8_2005,75.0,8482.0,0.2917933130699088,0.4173913043478261,115.07500000000003,1.198697916666667,2005,8,0.27118644067796605,0.29219987812309567,974.0,0.07700205338809035,0.08324922562906756
8_2006,96.0,5165.0,0.2572178477690289,0.3643122676579926,90.63599999999997,0.9248571428571424,2006,8,0.28,-0.3910634284366895,1326.0,0.07239819004524888,-0.059788838612367945
8_2007,98.0,7075.0,0.3050847457627119,0.4260355029585799,184.01,1.2778472222222224,2007,8,0.02083333333333326,0.36979670861568237,1145.0,0.08558951965065502,0.18220524017467232
